6649,wddw,dwd,Mittel,2026-05-14,Bennet,2026-05-06,Bennet,Schule,Gesichtet,Level 1,Fehler,,IT,0%,
2068,LOL,Outlook pputt,Mittel,Hallo,Monitoring API,23.jjjjjj,jamie,Telekom,Gesichtet,Level 1,Fehler,,IT,0%,
4947,Serverausfall,Der Hauptserver antwortet nicht mehr.,Hoch,2026-05-18,Anna Schmidt,2026-05-05,system@firma.de,Firma GmbH,Fertig,Level 2,Fehler,,IT,0%,Ticket erstellt.
3616,Maus defekt,Maus am Arbeitsplatz 12 reagiert nicht.,Niedrig,2026-05-18,Nicht zugewiesen,2026-05-07,system@firma.de,Firma GmbH,Überprüfung,Level 3,Support,,IT,25%,Ticket erstellt.
9142,Gehaltsabrechnung fehlt,Die Abrechnung fuer Mai ist nicht im System.,Mittel,2026-05-18,Max Mustermann,2026-05-07,system@firma.de,Firma GmbH,Abgebrochen,Level 3,Support,,HR,50%,Ticket erstellt.
9631,Druckerpapier leer,Drucker im 2. Stock braucht neues Papier.,Niedrig,2026-05-18,Nicht zugewiesen,2026-05-02,system@firma.de,Firma GmbH,Abgebrochen,Level 3,Wartung,,Support,100%,Ticket erstellt.
3577,Software-Update,Bitte die neue Buchhaltungssoftware installieren.,Mittel,2026-05-21,Tom Mueller,2026-05-04,system@firma.de,Firma GmbH,Abgebrochen,Level 1,Support,,Finanzen,50%,Ticket erstellt.
8175,Kaffeemaschine kaputt,Fehlercode E04 wird angezeigt.,Hoch,2026-05-08,Max Mustermann,2026-05-07,system@firma.de,Firma GmbH,Abgebrochen,Level 2,Eskalation,,Support,0%,Ticket erstellt.
2885,Neuer Mitarbeiter,Bitte Account fuer neuen Kollegen anlegen.,Mittel,2026-05-10,Anna Schmidt,2026-05-06,system@firma.de,Firma GmbH,Fertig,Level 3,Support,,IT,0%,Ticket erstellt.
1539,Netzwerk langsam,Die Internetverbindung im Sales-Buero ist extrem langsam.,Hoch,2026-05-13,Anna Schmidt,2026-05-05,system@firma.de,Firma GmbH,Gesichtet,Level 1,Fehler,,IT,75%,Ticket erstellt.
5009,VPN Zugang,Ich brauche einen VPN Zugang fuer das Home-Office.,Mittel,2026-05-13,Anna Schmidt,2026-05-04,system@firma.de,Firma GmbH,Wartend,Level 1,Support,,Sales,100%,Ticket erstellt.
2227,Fehler in App,Die Kunden-App stuerzt beim Login ab.,Hoch,2026-05-13,Tom Mueller,2026-05-07,system@firma.de,Firma GmbH,Fertig,Level 2,Fehler,,IT,0%,Ticket erstellt.
